Shipment ID,Origin,Destination,Shipment Date,Estimated Delivery Date,Actual Delivery Date,Shipment Status,Carrier Name,Mode of Transportation,Product ID,Product Name,Weight (kg),Dimensions (LxWxH cm),Special Handling Instructions,Customer ID,Customer Region,Preferred Delivery Times,Cat ID,Cat Name,Breed,Age (Years),Health Certificate Status,Behavioral Notes,Route ID,Intermediate Stops,Distance Covered (km),Delay Reasons,Cost of Shipment (PHP),Carbon Emissions (kg CO2)
SHP-PH1244,Shelter Manila,Cat Café Cebu,2024-11-22,2024-11-05,2024-11-27,In-transit,Pet Express,Road,CAT-FOOD-002,Premium Cat Food,5.0,40x20x15,Live Animal,CUST-PH1244,Cebu,Evening,N/A,N/A,N/A,N/A,N/A,N/A,RT-PH1244,Cebu City Airport,1126,Technical Issue,713,37
SHP-PH1245,Shelter Quezon City,Cat Café Makati,2024-11-15,2024-11-14,2024-11-20,Delayed,J&T Express,Road,CAT-FOOD-002,Premium Cat Food,5.0,40x20x15,Keep Dry,CUST-PH1245,Cebu,Morning,N/A,N/A,N/A,N/A,N/A,N/A,RT-PH1245,Davao City Hub,451,Technical Issue,1689,20
SHP-PH1246,Warehouse Bacolod,Customer Home Davao,2024-11-14,2024-11-23,2024-11-14,Delayed,LBC Express,Air,CAT-TOY-001,Catnip Toy,0.3,12x6x6,Handle with Care,CUST-PH1246,Bacolod,Morning,N/A,N/A,N/A,N/A,N/A,N/A,RT-PH1246,Davao City Hub,1145,Technical Issue,949,58
SHP-PH1247,Warehouse Bacolod,Customer Home Pasig,2024-11-16,2024-11-13,2024-11-22,Delayed,LBC Express,Road,CAT-TOY-001,Catnip Toy,0.3,12x6x6,Fragile,CUST-PH1247,Bacolod,Afternoon,N/A,N/A,N/A,N/A,N/A,N/A,RT-PH1247,"Makati, Taguig",948,Traffic,1504,49
SHP-PH1248,Shelter Manila,Cat Café Manila,2024-11-13,2024-11-14,2024-11-30,Delayed,LBC Express,Air,CAT-TOY-001,Catnip Toy,0.3,12x6x6,Live Animal,CUST-PH1248,Cebu,Morning,N/A,N/A,N/A,N/A,N/A,N/A,RT-PH1248,Cebu City Airport,639,None,382,53
SHP-PH1249,Shelter Manila,Customer Home Pasig,2024-11-16,2024-11-13,2024-11-03,Delayed,J&T Express,Road,CAT-LIT-003,Cat Litter,8.0,45x35x25,None,CUST-PH1249,Iloilo,Evening,N/A,N/A,N/A,N/A,N/A,N/A,RT-PH1249,Clark Airport,32,Customs,745,32
SHP-PH1250,Warehouse Cebu,Cat Café Manila,2024-11-14,2024-11-12,2024-11-20,In-transit,Grab Pet Transport,Air,CAT-LIT-003,Cat Litter,8.0,45x35x25,Live Animal,CUST-PH1250,Bacolod,Evening,N/A,N/A,N/A,N/A,N/A,N/A,RT-PH1250,Davao City Hub,401,Customs,235,5
SHP-PH1251,Shelter Manila,Customer Home Davao,2024-11-26,2024-11-18,2024-11-10,In-transit,PawLogistics,Air,CAT-FOOD-002,Premium Cat Food,5.0,40x20x15,None,CUST-PH1251,Bacolod,Morning,N/A,N/A,N/A,N/A,N/A,N/A,RT-PH1251,Clark Airport,220,Customs,209,40
SHP-PH1252,Shelter Manila,Cat Café Makati,2024-11-22,2024-11-22,2024-11-05,Delayed,J&T Express,Road,CAT-SCRATCH-005,Cat Scratcher,3.5,50x40x20,Fragile,CUST-PH1252,Bacolod,Evening,N/A,N/A,N/A,N/A,N/A,N/A,RT-PH1252,Cebu City Airport,623,Customs,1264,88
SHP-PH1253,Warehouse Bacolod,Customer Home Pasig,2024-11-21,2024-11-17,2024-11-27,Delayed,LBC Express,Road,LIVE-CAT-004,Live Cat,4.0,35x35x35,Live Animal,CUST-PH1253,Metro Manila,Evening,CAT-PH1253,Bunso,Siamese,4,Up-to-date,Calm,RT-PH1253,Davao City Hub,1468,Weather,1495,66
SHP-PH1254,Pet Store Davao,Customer Home Pasig,2024-11-21,2024-11-11,2024-11-30,In-transit,Pet Express,Road,CAT-FOOD-002,Premium Cat Food,5.0,40x20x15,None,CUST-PH1254,Iloilo,Morning,N/A,N/A,N/A,N/A,N/A,N/A,RT-PH1254,"Makati, Taguig",176,Customs,1862,83
SHP-PH1255,Warehouse Bacolod,Cat Café Manila,2024-11-01,2024-11-13,2024-11-18,In-transit,J&T Express,Road,CAT-TOY-001,Catnip Toy,0.3,12x6x6,Keep Dry,CUST-PH1255,Davao,Evening,N/A,N/A,N/A,N/A,N/A,N/A,RT-PH1255,Davao City Hub,580,Weather,1695,28
SHP-PH1256,Pet Store Davao,Customer Home Pasig,2024-11-18,2024-11-28,2024-11-22,Delayed,Pet Express,Air,CAT-TOY-001,Catnip Toy,0.3,12x6x6,None,CUST-PH1256,Bacolod,Morning,N/A,N/A,N/A,N/A,N/A,N/A,RT-PH1256,Cebu City Airport,1067,Traffic,273,3
SHP-PH1257,Pet Store Davao,Customer Home Davao,2024-11-29,2024-11-10,2024-11-19,Delivered,Grab Pet Transport,Air,LIVE-CAT-004,Live Cat,4.0,35x35x35,None,CUST-PH1257,Bacolod,Evening,CAT-PH1257,Mittens,Persian,2,Up-to-date,Playful,RT-PH1257,"Makati, Taguig",478,Traffic,1616,5
SHP-PH1258,Shelter Quezon City,Customer Home Pasig,2024-11-24,2024-11-04,2024-11-23,In-transit,Grab Pet Transport,Road,CAT-SCRATCH-005,Cat Scratcher,3.5,50x40x20,Keep Dry,CUST-PH1258,Cebu,Afternoon,N/A,N/A,N/A,N/A,N/A,N/A,RT-PH1258,Cebu City Airport,565,None,1450,29
SHP-PH1259,Shelter Quezon City,Cat Café Cebu,2024-11-24,2024-11-26,2024-11-11,In-transit,J&T Express,Air,CAT-FOOD-002,Premium Cat Food,5.0,40x20x15,None,CUST-PH1259,Bacolod,Afternoon,N/A,N/A,N/A,N/A,N/A,N/A,RT-PH1259,Davao City Hub,778,Customs,1013,28
SHP-PH1260,Shelter Manila,Cat Café Makati,2024-11-20,2024-11-15,2024-11-13,In-transit,PawLogistics,Air,CAT-FOOD-002,Premium Cat Food,5.0,40x20x15,Fragile,CUST-PH1260,Bacolod,Morning,N/A,N/A,N/A,N/A,N/A,N/A,RT-PH1260,Clark Airport,1034,Weather,344,54
SHP-PH1261,Warehouse Bacolod,Cat Café Cebu,2024-11-27,2024-11-24,2024-11-05,In-transit,Grab Pet Transport,Air,LIVE-CAT-004,Live Cat,4.0,35x35x35,Live Animal,CUST-PH1261,Bacolod,Afternoon,CAT-PH1261,Muning,Maine Coon,5,Up-to-date,Playful,RT-PH1261,"Makati, Taguig",1154,Customs,1899,40
SHP-PH1262,Warehouse Cebu,Cat Café Makati,2024-11-27,2024-11-29,2024-11-19,Delivered,PawLogistics,Road,CAT-FOOD-002,Premium Cat Food,5.0,40x20x15,Live Animal,CUST-PH1262,Metro Manila,Evening,N/A,N/A,N/A,N/A,N/A,N/A,RT-PH1262,"Naga, Talisay",877,Technical Issue,535,38
SHP-PH1263,Warehouse Bacolod,Customer Home Pasig,2024-11-18,2024-11-21,2024-11-23,Delayed,Grab Pet Transport,Road,LIVE-CAT-004,Live Cat,4.0,35x35x35,Keep Dry,CUST-PH1263,Metro Manila,Evening,CAT-PH1263,Pusa,Persian,5,Up-to-date,Shy,RT-PH1263,"Makati, Taguig",622,None,1611,52
SHP-PH1264,Warehouse Cebu,Cat Café Makati,2024-11-10,2024-11-08,2024-11-18,In-transit,LBC Express,Air,CAT-TOY-001,Catnip Toy,0.3,12x6x6,Handle with Care,CUST-PH1264,Bacolod,Afternoon,N/A,N/A,N/A,N/A,N/A,N/A,RT-PH1264,Davao City Hub,1440,Technical Issue,1811,19
SHP-PH1265,Pet Store Davao,Cat Café Cebu,2024-11-12,2024-11-07,2024-11-17,In-transit,Pet Express,Road,CAT-FOOD-002,Premium Cat Food,5.0,40x20x15,None,CUST-PH1265,Cebu,Morning,N/A,N/A,N/A,N/A,N/A,N/A,RT-PH1265,Clark Airport,15,Technical Issue,1193,98
SHP-PH1266,Pet Store Davao,Cat Café Makati,2024-11-22,2024-11-29,2024-11-05,In-transit,Grab Pet Transport,Air,CAT-SCRATCH-005,Cat Scratcher,3.5,50x40x20,Fragile,CUST-PH1266,Davao,Afternoon,N/A,N/A,N/A,N/A,N/A,N/A,RT-PH1266,Clark Airport,1304,Customs,237,79
SHP-PH1267,Pet Store Davao,Customer Home Davao,2024-11-12,2024-11-17,2024-11-29,Delivered,Pet Express,Road,CAT-TOY-001,Catnip Toy,0.3,12x6x6,Fragile,CUST-PH1267,Bacolod,Evening,N/A,N/A,N/A,N/A,N/A,N/A,RT-PH1267,"Naga, Talisay",916,Weather,1318,95
SHP-PH1268,Shelter Manila,Cat Café Cebu,2024-11-13,2024-11-17,2024-11-24,In-transit,PawLogistics,Road,CAT-LIT-003,Cat Litter,8.0,45x35x25,Fragile,CUST-PH1268,Metro Manila,Afternoon,N/A,N/A,N/A,N/A,N/A,N/A,RT-PH1268,Davao City Hub,967,Traffic,1920,42
SHP-PH1269,Warehouse Bacolod,Cat Café Cebu,2024-11-03,2024-11-26,2024-11-16,Delayed,Pet Express,Air,LIVE-CAT-004,Live Cat,4.0,35x35x35,None,CUST-PH1269,Iloilo,Morning,CAT-PH1269,Pusa,Persian,2,Up-to-date,Calm,RT-PH1269,"Makati, Taguig",524,Traffic,1674,47
SHP-PH1270,Pet Store Davao,Cat Café Makati,2024-11-16,2024-11-29,2024-11-17,Delayed,J&T Express,Air,CAT-SCRATCH-005,Cat Scratcher,3.5,50x40x20,Live Animal,CUST-PH1270,Cebu,Evening,N/A,N/A,N/A,N/A,N/A,N/A,RT-PH1270,Cebu City Airport,760,Technical Issue,856,99
SHP-PH1271,Shelter Manila,Cat Café Cebu,2024-11-18,2024-11-08,2024-11-22,In-transit,Pet Express,Road,LIVE-CAT-004,Live Cat,4.0,35x35x35,Fragile,CUST-PH1271,Bacolod,Afternoon,CAT-PH1271,Muning,Puspin,4,Up-to-date,Shy,RT-PH1271,Davao City Hub,1145,Traffic,563,26
SHP-PH1272,Pet Store Davao,Cat Café Makati,2024-11-09,2024-11-25,2024-11-05,In-transit,Grab Pet Transport,Air,CAT-LIT-003,Cat Litter,8.0,45x35x25,Fragile,CUST-PH1272,Metro Manila,Morning,N/A,N/A,N/A,N/A,N/A,N/A,RT-PH1272,"Naga, Talisay",1001,Traffic,644,50
SHP-PH1273,Shelter Manila,Cat Café Manila,2024-11-21,2024-11-27,2024-11-27,Delivered,Grab Pet Transport,Air,CAT-FOOD-002,Premium Cat Food,5.0,40x20x15,Live Animal,CUST-PH1273,Bacolod,Morning,N/A,N/A,N/A,N/A,N/A,N/A,RT-PH1273,Davao City Hub,867,None,1058,38
SHP-PH1274,Shelter Manila,Customer Home Pasig,2024-11-25,2024-11-19,2024-11-15,Delayed,PawLogistics,Road,CAT-SCRATCH-005,Cat Scratcher,3.5,50x40x20,Handle with Care,CUST-PH1274,Iloilo,Evening,N/A,N/A,N/A,N/A,N/A,N/A,RT-PH1274,"Naga, Talisay",1285,Weather,247,75
SHP-PH1275,Pet Store Davao,Customer Home Davao,2024-11-21,2024-11-11,2024-11-08,Delivered,Pet Express,Air,CAT-TOY-001,Catnip Toy,0.3,12x6x6,Live Animal,CUST-PH1275,Davao,Afternoon,N/A,N/A,N/A,N/A,N/A,N/A,RT-PH1275,"Naga, Talisay",106,Customs,1131,80
SHP-PH1276,Pet Store Davao,Customer Home Davao,2024-11-29,2024-11-27,2024-11-05,In-transit,PawLogistics,Air,CAT-FOOD-002,Premium Cat Food,5.0,40x20x15,Keep Dry,CUST-PH1276,Metro Manila,Afternoon,N/A,N/A,N/A,N/A,N/A,N/A,RT-PH1276,"Makati, Taguig",619,Technical Issue,866,49
SHP-PH1277,Pet Store Davao,Cat Café Cebu,2024-11-05,2024-11-29,2024-11-10,In-transit,Pet Express,Road,CAT-TOY-001,Catnip Toy,0.3,12x6x6,Fragile,CUST-PH1277,Metro Manila,Morning,N/A,N/A,N/A,N/A,N/A,N/A,RT-PH1277,Clark Airport,300,Weather,1095,36
SHP-PH1278,Pet Store Davao,Cat Café Cebu,2024-11-29,2024-11-17,2024-11-21,Delivered,LBC Express,Air,CAT-TOY-001,Catnip Toy,0.3,12x6x6,Keep Dry,CUST-PH1278,Cebu,Morning,N/A,N/A,N/A,N/A,N/A,N/A,RT-PH1278,"Makati, Taguig",912,Weather,1805,37
SHP-PH1279,Warehouse Cebu,Cat Café Cebu,2024-11-02,2024-11-28,2024-11-29,In-transit,J&T Express,Air,CAT-LIT-003,Cat Litter,8.0,45x35x25,Keep Dry,CUST-PH1279,Metro Manila,Afternoon,N/A,N/A,N/A,N/A,N/A,N/A,RT-PH1279,"Naga, Talisay",968,Weather,1053,12
SHP-PH1280,Shelter Manila,Cat Café Manila,2024-11-12,2024-11-20,2024-11-12,In-transit,LBC Express,Air,CAT-FOOD-002,Premium Cat Food,5.0,40x20x15,Fragile,CUST-PH1280,Bacolod,Morning,N/A,N/A,N/A,N/A,N/A,N/A,RT-PH1280,Cebu City Airport,990,Technical Issue,1423,37
SHP-PH1281,Shelter Manila,Cat Café Manila,2024-11-27,2024-11-07,2024-11-04,Delayed,LBC Express,Road,CAT-SCRATCH-005,Cat Scratcher,3.5,50x40x20,Live Animal,CUST-PH1281,Davao,Afternoon,N/A,N/A,N/A,N/A,N/A,N/A,RT-PH1281,Cebu City Airport,389,None,279,48
SHP-PH1282,Warehouse Cebu,Customer Home Davao,2024-11-30,2024-11-19,2024-11-03,In-transit,Pet Express,Road,CAT-LIT-003,Cat Litter,8.0,45x35x25,Fragile,CUST-PH1282,Davao,Evening,N/A,N/A,N/A,N/A,N/A,N/A,RT-PH1282,Davao City Hub,895,Weather,1990,100
SHP-PH1283,Warehouse Bacolod,Cat Café Makati,2024-11-03,2024-11-18,2024-11-02,Delayed,J&T Express,Air,CAT-TOY-001,Catnip Toy,0.3,12x6x6,Handle with Care,CUST-PH1283,Iloilo,Morning,N/A,N/A,N/A,N/A,N/A,N/A,RT-PH1283,Clark Airport,1147,None,837,77
SHP-PH1284,Warehouse Bacolod,Cat Café Makati,2024-11-13,2024-11-29,2024-11-28,In-transit,J&T Express,Air,CAT-LIT-003,Cat Litter,8.0,45x35x25,Fragile,CUST-PH1284,Metro Manila,Morning,N/A,N/A,N/A,N/A,N/A,N/A,RT-PH1284,Davao City Hub,589,None,835,85
SHP-PH1285,Warehouse Cebu,Cat Café Cebu,2024-11-19,2024-11-12,2024-11-30,Delayed,LBC Express,Air,CAT-FOOD-002,Premium Cat Food,5.0,40x20x15,Live Animal,CUST-PH1285,Iloilo,Morning,N/A,N/A,N/A,N/A,N/A,N/A,RT-PH1285,Davao City Hub,119,Technical Issue,986,80
SHP-PH1286,Warehouse Cebu,Cat Café Cebu,2024-11-13,2024-11-13,2024-11-24,Delivered,Grab Pet Transport,Air,CAT-LIT-003,Cat Litter,8.0,45x35x25,Keep Dry,CUST-PH1286,Davao,Evening,N/A,N/A,N/A,N/A,N/A,N/A,RT-PH1286,"Makati, Taguig",1425,Traffic,1739,22
SHP-PH1287,Shelter Quezon City,Customer Home Davao,2024-11-07,2024-11-28,2024-11-10,Delayed,PawLogistics,Road,CAT-LIT-003,Cat Litter,8.0,45x35x25,None,CUST-PH1287,Iloilo,Afternoon,N/A,N/A,N/A,N/A,N/A,N/A,RT-PH1287,"Makati, Taguig",772,None,1847,62
SHP-PH1288,Warehouse Cebu,Cat Café Manila,2024-11-23,2024-11-07,2024-11-16,Delivered,J&T Express,Air,LIVE-CAT-004,Live Cat,4.0,35x35x35,Fragile,CUST-PH1288,Bacolod,Afternoon,CAT-PH1288,Pusa,Maine Coon,2,Up-to-date,Shy,RT-PH1288,"Naga, Talisay",550,Customs,1761,85
SHP-PH1289,Warehouse Cebu,Cat Café Manila,2024-11-23,2024-11-07,2024-11-11,Delayed,LBC Express,Road,CAT-TOY-001,Catnip Toy,0.3,12x6x6,Live Animal,CUST-PH1289,Cebu,Afternoon,N/A,N/A,N/A,N/A,N/A,N/A,RT-PH1289,Clark Airport,658,Customs,1177,9
SHP-PH1290,Warehouse Cebu,Cat Café Cebu,2024-11-20,2024-11-12,2024-11-30,Delayed,Pet Express,Air,CAT-SCRATCH-005,Cat Scratcher,3.5,50x40x20,Fragile,CUST-PH1290,Iloilo,Afternoon,N/A,N/A,N/A,N/A,N/A,N/A,RT-PH1290,Clark Airport,351,Weather,1830,89
SHP-PH1291,Warehouse Bacolod,Cat Café Manila,2024-11-14,2024-11-25,2024-11-06,Delayed,PawLogistics,Road,CAT-TOY-001,Catnip Toy,0.3,12x6x6,Keep Dry,CUST-PH1291,Metro Manila,Afternoon,N/A,N/A,N/A,N/A,N/A,N/A,RT-PH1291,"Naga, Talisay",1209,Customs,571,90
SHP-PH1292,Warehouse Cebu,Cat Café Cebu,2024-11-13,2024-11-05,2024-11-06,In-transit,LBC Express,Air,CAT-FOOD-002,Premium Cat Food,5.0,40x20x15,None,CUST-PH1292,Metro Manila,Evening,N/A,N/A,N/A,N/A,N/A,N/A,RT-PH1292,"Makati, Taguig",1351,Customs,1748,64
SHP-PH1293,Pet Store Davao,Cat Café Makati,2024-11-16,2024-11-10,2024-11-12,In-transit,PawLogistics,Air,CAT-TOY-001,Catnip Toy,0.3,12x6x6,Handle with Care,CUST-PH1293,Bacolod,Afternoon,N/A,N/A,N/A,N/A,N/A,N/A,RT-PH1293,"Makati, Taguig",35,None,731,4
SHP-PH1294,Warehouse Bacolod,Cat Café Makati,2024-11-19,2024-11-26,2024-11-03,In-transit,Pet Express,Road,CAT-FOOD-002,Premium Cat Food,5.0,40x20x15,None,CUST-PH1294,Metro Manila,Afternoon,N/A,N/A,N/A,N/A,N/A,N/A,RT-PH1294,"Makati, Taguig",976,None,710,75
SHP-PH1295,Pet Store Davao,Customer Home Davao,2024-11-19,2024-11-09,2024-11-11,Delayed,Pet Express,Road,CAT-SCRATCH-005,Cat Scratcher,3.5,50x40x20,None,CUST-PH1295,Bacolod,Afternoon,N/A,N/A,N/A,N/A,N/A,N/A,RT-PH1295,"Naga, Talisay",1278,Weather,865,56
SHP-PH1296,Shelter Quezon City,Customer Home Davao,2024-11-21,2024-11-11,2024-11-06,Delivered,PawLogistics,Air,CAT-FOOD-002,Premium Cat Food,5.0,40x20x15,Live Animal,CUST-PH1296,Cebu,Evening,N/A,N/A,N/A,N/A,N/A,N/A,RT-PH1296,Davao City Hub,1105,None,1355,9
SHP-PH1297,Shelter Manila,Customer Home Davao,2024-11-21,2024-11-14,2024-11-14,Delivered,LBC Express,Road,CAT-SCRATCH-005,Cat Scratcher,3.5,50x40x20,Fragile,CUST-PH1297,Iloilo,Evening,N/A,N/A,N/A,N/A,N/A,N/A,RT-PH1297,Clark Airport,470,Customs,453,48
SHP-PH1298,Shelter Quezon City,Customer Home Davao,2024-11-08,2024-11-25,2024-11-27,Delayed,Pet Express,Road,CAT-SCRATCH-005,Cat Scratcher,3.5,50x40x20,Fragile,CUST-PH1298,Metro Manila,Afternoon,N/A,N/A,N/A,N/A,N/A,N/A,RT-PH1298,"Makati, Taguig",315,Customs,488,53
SHP-PH1299,Warehouse Cebu,Cat Café Cebu,2024-11-15,2024-11-30,2024-11-25,Delayed,Pet Express,Air,CAT-SCRATCH-005,Cat Scratcher,3.5,50x40x20,Fragile,CUST-PH1299,Cebu,Afternoon,N/A,N/A,N/A,N/A,N/A,N/A,RT-PH1299,Davao City Hub,1205,Weather,1689,38
SHP-PH1300,Warehouse Bacolod,Cat Café Makati,2024-11-29,2024-11-08,2024-11-07,Delivered,Grab Pet Transport,Road,CAT-FOOD-002,Premium Cat Food,5.0,40x20x15,None,CUST-PH1300,Cebu,Morning,N/A,N/A,N/A,N/A,N/A,N/A,RT-PH1300,Cebu City Airport,425,Customs,1785,99
SHP-PH1301,Warehouse Bacolod,Cat Café Manila,2024-11-03,2024-11-23,2024-11-09,Delayed,LBC Express,Road,LIVE-CAT-004,Live Cat,4.0,35x35x35,None,CUST-PH1301,Metro Manila,Afternoon,CAT-PH1301,Mittens,Puspin,2,Up-to-date,Calm,RT-PH1301,"Naga, Talisay",509,Weather,1131,64
SHP-PH1302,Shelter Quezon City,Cat Café Makati,2024-11-17,2024-11-26,2024-11-05,In-transit,J&T Express,Road,CAT-LIT-003,Cat Litter,8.0,45x35x25,Live Animal,CUST-PH1302,Davao,Afternoon,N/A,N/A,N/A,N/A,N/A,N/A,RT-PH1302,"Makati, Taguig",1445,None,1422,72
SHP-PH1303,Warehouse Cebu,Cat Café Manila,2024-11-10,2024-11-24,2024-11-25,In-transit,J&T Express,Air,LIVE-CAT-004,Live Cat,4.0,35x35x35,Fragile,CUST-PH1303,Metro Manila,Evening,CAT-PH1303,Bunso,Maine Coon,4,Up-to-date,Shy,RT-PH1303,"Makati, Taguig",1406,Traffic,791,37
SHP-PH1304,Shelter Manila,Customer Home Davao,2024-11-28,2024-11-25,2024-11-02,Delayed,LBC Express,Air,CAT-TOY-001,Catnip Toy,0.3,12x6x6,Fragile,CUST-PH1304,Davao,Afternoon,N/A,N/A,N/A,N/A,N/A,N/A,RT-PH1304,Clark Airport,1202,Customs,1970,62
SHP-PH1305,Warehouse Bacolod,Cat Café Manila,2024-11-20,2024-11-21,2024-11-06,Delivered,Grab Pet Transport,Air,CAT-SCRATCH-005,Cat Scratcher,3.5,50x40x20,Handle with Care,CUST-PH1305,Bacolod,Afternoon,N/A,N/A,N/A,N/A,N/A,N/A,RT-PH1305,Davao City Hub,978,Technical Issue,440,77
SHP-PH1306,Shelter Quezon City,Cat Café Manila,2024-11-28,2024-11-17,2024-11-05,Delivered,PawLogistics,Air,CAT-TOY-001,Catnip Toy,0.3,12x6x6,Handle with Care,CUST-PH1306,Davao,Evening,N/A,N/A,N/A,N/A,N/A,N/A,RT-PH1306,Clark Airport,702,Technical Issue,248,18
SHP-PH1307,Pet Store Davao,Cat Café Manila,2024-11-30,2024-11-17,2024-11-28,Delivered,Grab Pet Transport,Air,CAT-LIT-003,Cat Litter,8.0,45x35x25,Handle with Care,CUST-PH1307,Metro Manila,Morning,N/A,N/A,N/A,N/A,N/A,N/A,RT-PH1307,"Makati, Taguig",961,Traffic,1256,15
SHP-PH1308,Pet Store Davao,Cat Café Cebu,2024-11-17,2024-11-02,2024-11-19,In-transit,PawLogistics,Air,CAT-TOY-001,Catnip Toy,0.3,12x6x6,Fragile,CUST-PH1308,Iloilo,Afternoon,N/A,N/A,N/A,N/A,N/A,N/A,RT-PH1308,Clark Airport,904,Weather,1354,43
SHP-PH1309,Warehouse Bacolod,Customer Home Davao,2024-11-16,2024-11-02,2024-11-04,Delivered,J&T Express,Air,CAT-FOOD-002,Premium Cat Food,5.0,40x20x15,Keep Dry,CUST-PH1309,Bacolod,Morning,N/A,N/A,N/A,N/A,N/A,N/A,RT-PH1309,Clark Airport,143,None,1852,50
SHP-PH1310,Shelter Quezon City,Cat Café Makati,2024-11-15,2024-11-03,2024-11-09,In-transit,PawLogistics,Road,LIVE-CAT-004,Live Cat,4.0,35x35x35,Live Animal,CUST-PH1310,Metro Manila,Morning,CAT-PH1310,Pusa,Persian,4,Up-to-date,Shy,RT-PH1310,"Naga, Talisay",1351,Customs,1312,88
SHP-PH1311,Pet Store Davao,Cat Café Manila,2024-11-13,2024-11-28,2024-11-03,Delayed,PawLogistics,Air,LIVE-CAT-004,Live Cat,4.0,35x35x35,None,CUST-PH1311,Cebu,Afternoon,CAT-PH1311,Bunso,Siamese,2,Up-to-date,Playful,RT-PH1311,Clark Airport,306,Technical Issue,1294,17
SHP-PH1312,Warehouse Bacolod,Customer Home Pasig,2024-11-25,2024-11-29,2024-11-08,Delivered,Grab Pet Transport,Road,CAT-SCRATCH-005,Cat Scratcher,3.5,50x40x20,Keep Dry,CUST-PH1312,Metro Manila,Afternoon,N/A,N/A,N/A,N/A,N/A,N/A,RT-PH1312,"Naga, Talisay",570,Traffic,971,66
SHP-PH1313,Shelter Quezon City,Cat Café Makati,2024-11-25,2024-11-14,2024-11-18,In-transit,J&T Express,Air,CAT-SCRATCH-005,Cat Scratcher,3.5,50x40x20,Keep Dry,CUST-PH1313,Bacolod,Afternoon,N/A,N/A,N/A,N/A,N/A,N/A,RT-PH1313,Davao City Hub,73,Customs,1786,80
SHP-PH1314,Warehouse Cebu,Customer Home Pasig,2024-11-13,2024-11-26,2024-11-28,In-transit,J&T Express,Air,CAT-TOY-001,Catnip Toy,0.3,12x6x6,Keep Dry,CUST-PH1314,Bacolod,Morning,N/A,N/A,N/A,N/A,N/A,N/A,RT-PH1314,Davao City Hub,881,Weather,794,10
SHP-PH1315,Warehouse Bacolod,Cat Café Makati,2024-11-10,2024-11-16,2024-11-22,In-transit,J&T Express,Road,CAT-FOOD-002,Premium Cat Food,5.0,40x20x15,None,CUST-PH1315,Metro Manila,Afternoon,N/A,N/A,N/A,N/A,N/A,N/A,RT-PH1315,Davao City Hub,546,Customs,249,80
SHP-PH1316,Warehouse Cebu,Cat Café Makati,2024-11-29,2024-11-17,2024-11-13,Delivered,PawLogistics,Road,CAT-LIT-003,Cat Litter,8.0,45x35x25,None,CUST-PH1316,Cebu,Morning,N/A,N/A,N/A,N/A,N/A,N/A,RT-PH1316,Clark Airport,136,None,1574,20
SHP-PH1317,Shelter Manila,Customer Home Davao,2024-11-13,2024-11-15,2024-11-10,In-transit,J&T Express,Air,CAT-TOY-001,Catnip Toy,0.3,12x6x6,Handle with Care,CUST-PH1317,Cebu,Afternoon,N/A,N/A,N/A,N/A,N/A,N/A,RT-PH1317,"Naga, Talisay",28,Customs,1816,39
SHP-PH1318,Warehouse Bacolod,Customer Home Pasig,2024-11-02,2024-11-18,2024-11-15,In-transit,PawLogistics,Air,CAT-FOOD-002,Premium Cat Food,5.0,40x20x15,Live Animal,CUST-PH1318,Iloilo,Evening,N/A,N/A,N/A,N/A,N/A,N/A,RT-PH1318,Davao City Hub,50,Traffic,811,74
SHP-PH1319,Shelter Quezon City,Customer Home Pasig,2024-11-02,2024-11-27,2024-11-08,In-transit,J&T Express,Air,CAT-SCRATCH-005,Cat Scratcher,3.5,50x40x20,None,CUST-PH1319,Bacolod,Evening,N/A,N/A,N/A,N/A,N/A,N/A,RT-PH1319,Clark Airport,555,Customs,337,95
SHP-PH1320,Shelter Manila,Customer Home Pasig,2024-11-07,2024-11-07,2024-11-28,In-transit,Pet Express,Road,LIVE-CAT-004,Live Cat,4.0,35x35x35,Fragile,CUST-PH1320,Bacolod,Morning,CAT-PH1320,Mittens,Siamese,3,Up-to-date,Calm,RT-PH1320,Cebu City Airport,829,Traffic,1005,52
SHP-PH1321,Warehouse Cebu,Cat Café Cebu,2024-11-18,2024-11-11,2024-11-21,Delayed,LBC Express,Road,CAT-SCRATCH-005,Cat Scratcher,3.5,50x40x20,Live Animal,CUST-PH1321,Metro Manila,Morning,N/A,N/A,N/A,N/A,N/A,N/A,RT-PH1321,Clark Airport,45,Customs,437,52
SHP-PH1322,Pet Store Davao,Customer Home Davao,2024-11-24,2024-11-22,2024-11-04,In-transit,Pet Express,Road,LIVE-CAT-004,Live Cat,4.0,35x35x35,Live Animal,CUST-PH1322,Bacolod,Morning,CAT-PH1322,Bunso,Maine Coon,2,Up-to-date,Playful,RT-PH1322,"Makati, Taguig",679,Technical Issue,478,43
SHP-PH1323,Pet Store Davao,Cat Café Makati,2024-11-07,2024-11-29,2024-11-09,Delayed,Pet Express,Air,LIVE-CAT-004,Live Cat,4.0,35x35x35,Live Animal,CUST-PH1323,Davao,Morning,CAT-PH1323,Mittens,Puspin,1,Up-to-date,Playful,RT-PH1323,Clark Airport,1059,Customs,817,95
